title,skills,description
Machine Learning Engineer,"['python', 'aws', 'machine learning']","Job Title: Machine Learning Engineer - Recommender Systems (Mid-level)

Job Summary:

Our AI company is seeking an experienced and knowledgeable Machine Learning Engineer to join our team. The successful candidate will be responsible for developing and implementing state-of-the-art recommender systems in our AI products. The ideal candidate will have extensive experience in the field and be familiar with the latest developments and trends in machine learning and AI. This is a mid-level position, and the candidate will have the opportunity to work on exciting projects that leverage the power of machine learning to solve complex business problems.

Key Responsibilities:

- Develop and implement innovative and effective recommender systems and algorithms for our AI products
- Work closely with the AI team to understand client requirements and design solutions that meet their needs
- Develop and maintain machine learning models, including data pre-processing, feature extraction, and model training
- Collaborate with other software engineers, data scientists, and stakeholders to integrate machine learning models into our products and ensure the system's smooth operation
- Optimize algorithms and models for accuracy, scalability, and speed
- Stay up-to-date with the latest trends, techniques, and technologies in machine learning and AI, and integrate these into our products
- Document the code, algorithms, and models, and ensure they are maintainable, testable, and scalable

Requirements:

- Bachelor's, Master's, or Ph.D. in Computer Science, Electrical Engineering, or related fields
- At least 3 years of professional experience working on recommender systems using machine learning techniques
- In-depth knowledge of machine learning algorithms, such as linear regression, decision trees, ensemble methods, and neural networks
- Solid programming skills in Python, R or other programming languages used in machine learning
- Familiarity with big data technologies, such as Hadoop, Spark, or Hive
- Experience working with cloud infrastructure, such as Google Cloud or AWS
- Familiarity with software development best practices, such as version control, code review, and testing
- Strong communication skills and ability to work in a team environment

We offer a competitive salary and benefits package, as well as a collaborative and dynamic work environment where you will have the opportunity to grow and develop your skills. If you are passionate about machine learning and AI and enjoy working on complex problems, please apply to join our team."
Research Assistant,"['tensorflow', 'deep learning', 'python', 'keras', 'pytorch', 'machine learning']","Job Title: Research Assistant (Recommender System)

Location: [Company Name], [City]

Job Type: Full-Time

Job Description:

We are seeking an entry-level Research Assistant to join our team at [Company Name]. As a Research Assistant, you will work together with our research team to design and develop state-of-the-art recommender systems. You will have the opportunity to work on cutting-edge projects, including but not limited to personalized product recommendations, movie or music recommendation systems, and content-based recommendations.

Responsibilities:
• Work with the research team to design and implement algorithms and models for recommender systems
• Collect, clean, and analyze data to evaluate the performance of the developed algorithms and models
• Develop and maintain code and software infrastructure for recommender systems
• Experiment with novel approaches to improve the accuracy and efficiency of the recommender systems
• Write technical reports, research papers, and presentations summarizing the results of experiments and prototypes.

Requirements:
• Bachelor's degree (or higher) in Computer Science, Artificial Intelligence, Information Retrieval or a related field
• Familiarity with machine learning, data mining, and natural language processing techniques and algorithms
• Experience with programming languages such as Python, Java or R
• Familiarity with deep learning frameworks such as TensorFlow, PyTorch or Keras
• Strong problem-solving skills and ability to think creatively
• Good communication skills and ability to work collaboratively in a dynamic team environment

Preferred Qualifications:
• Experience with distributed computing frameworks such as Apache Spark, Hadoop or Flink
• Familiarity with cloud computing platforms such as Amazon Web Services, Microsoft Azure or Google Cloud Platform
• Strong quantitative and analytical skills, and experience in data visualization
• Experience in publishing research articles in peer-reviewed journals, presenting at academic or technical conferences or reviewing articles for conferences or journals

At [Company Name], we are proud to offer a culture of innovation and creativity where we value diversity and inclusivity. We offer competitive salaries, comprehensive benefits package, and a stimulating work environment where you can thrive and grow. If you are passionate about recommender systems, machine learning, and AI, we encourage you to apply today to join our team!"
Business Intelligence Developer,"['python', 'aws', 'machine learning', 'sql']","Job Title: Business Intelligence (BI) Developer - Computer Vision

Job Level: Mid-level

Job Type: Full-time

Location: [City, State or Remote]

Job Summary:
We are seeking a mid-level Business Intelligence (BI) Developer with experience in computer vision to join our growing team. The role requires a strong programming background, understanding of data analysis as well as experience in developing computer vision applications. The BI Developer will be responsible for developing and maintaining the company's data infrastructure to facilitate effective business decision making.

Responsibilities:
- Design and develop effective machine learning models in computer vision for improved data visualization.
- Work closely with stakeholders across various departments on designing and developing new features and applications to enhance overall business intelligence capabilities of the company.
- Develop and maintain ETL processes for integrating data from various sources into the data warehouse.
- Develop automated reports and data visualizations to communicate key business insights to company leadership.
- Develop and maintain data quality and governance policies to support effective data management practices.
- Partner with other data professionals to develop predictive models and forecasts.

Qualifications:
- Bachelor's degree in Computer Science, Mathematics or a related field.
- 3+ years of experience in software development with a strong background in data analysis.
- Strong proficiency in programming languages such as Python, R or SQL.
- Experience working with big data frameworks like Hadoop, Spark, or NoSQL databases.
- Strong understanding of machine learning and computer vision algorithms.
- Experience building and deploying applications for the cloud, e.g. AWS or Azure.
- Excellent problem-solving skills with a focus on continuous improvement.
- Strong verbal and written communication skills with the ability to work collaboratively with cross-functional teams. 

If you meet these qualifications and are passionate about utilizing computer vision in the field of business intelligence, we encourage you to submit your application for consideration."
AI Product Manager,[],"AI Product Manager - Entry Level (Computer Vision)

We are seeking a driven and passionate individual who is interested in pursuing a career in product management for computer vision-based AI products. As an AI Product Manager, you will work with cross-functional teams to develop, launch, and manage AI products that leverage computer vision technology. You will be responsible for driving the product vision, defining requirements, and ensuring timely delivery of high-quality products.

Responsibilities:

- Develop a deep understanding of computer vision technology and its applications in AI products
- Manage the product vision and roadmap for computer vision-based AI products
- Define and prioritize product features and requirements based on user needs, market trends, and business goals
- Collaborate with cross-functional teams, including engineers, designers, and data scientists, to ensure proper execution of the product vision
- Conduct market research and gather customer feedback to inform product decisions
- Act as the primary point of contact for internal stakeholders regarding the product vision, roadmap, and status updates
- Develop and manage project timelines, budgets, and resources
- Ensure the success of product launches through effective product positioning, messaging, and go-to-market strategies

Qualifications:

- Bachelor's degree in Computer Science, Computer Engineering, Electrical Engineering, or related field
- Strong understanding of computer vision technology and its applications in AI products
- Excellent communication and collaboration skills
- Ability to lead cross-functional teams and manage competing priorities
- Comfortable working in a fast-paced, agile environment
- Experience with project management methodologies is a plus

If you are looking to join a dynamic and growing AI company and be a part of an innovative team working on cutting-edge technology, we encourage you to apply for this exciting opportunity."
Business Intelligence Developer,"['tensorflow', 'deep learning', 'aws', 'python', 'keras', 'pytorch', 'machine learning', 'sql']","Job Title: Entry Level Business Intelligence Developer (Computer Vision)

Job Summary:
Our AI company is seeking an entry level Business Intelligence Developer with experience in Computer Vision to join our team. The successful candidate will be responsible for developing and implementing innovative computer vision applications that will be used to analyze and interpret business data. The Business Intelligence Developer will work closely with the Data Science and Engineering teams to identify data sources and create data models that will support business requirements.

Responsibilities:
• Write code for computer vision algorithms and machine learning models to analyze and interpret business data
• Develop and implement best practices for data collection, processing, and interpretation using computer vision techniques
• Work with the Data Science team to define and create data models to support business requirements
• Collaborate with the Engineering team to integrate computer vision applications into our existing technology platform
• Use data visualization tools to present data insights to business leaders and stakeholders
• Keep up-to-date with industry trends and advancements in computer vision and machine learning technologies

Requirements:
• Bachelor's degree in Computer Science, Data Science, or a related field
• 1-2 years of experience in computer vision and machine learning techniques
• Strong programming skills in Python or R programming language
• Familiarity with data cleaning, processing, analysis, and visualization tools such as SQL, Tableau, and Excel
• Ability to work collaboratively with cross-functional teams
• Excellent problem-solving, analytical, and critical thinking skills
• Strong communication and presentation skills

Preferred qualifications:
• Experience with deep learning frameworks such as TensorFlow, PyTorch, or Keras
• Experience with data scraping and web automation tools such as Selenium
• Knowledge of cloud computing platforms such as AWS, Google Cloud, or Azure
• Experience working in an Agile development environment

The successful candidate will have an analytical mindset, a passion for technology, and a desire to learn and grow in a fast-paced, innovative environment. We offer competitive salaries, comprehensive benefits packages, and opportunities for career advancement. If you are excited about the prospect of using computer vision to revolutionize the world of business intelligence, we encourage you to apply."
Deep Learning Engineer,"['tensorflow', 'deep learning', 'aws', 'python', 'pytorch']","Position: Entry-level Deep Learning Engineer - Computer Vision

Responsibilities:
- Develop, train, and optimize deep learning models for computer vision applications.
- Use data preprocessing, augmentation, and cleaning techniques to prepare data for model training.
- Collaborate with other engineers and researchers to improve model accuracy and performance.
- Interpret and analyze results from deep learning models to identify areas for improvement.
- Design and implement experiments to validate and test the performance of models.
- Stay up-to-date with the latest developments in the field of deep learning and computer vision.

Requirements:
- Bachelor's or Master's degree in Computer Science, Electrical Engineering, or related field.
- Strong programming skills in Python and experience with deep learning frameworks like Tensorflow or PyTorch.
- Experience in computer vision and image processing.
- Familiarity with cloud computing platforms like AWS and GCP.
- Excellent analytical and problem-solving skills.
- Ability to work in a dynamic and collaborative environment.
- Good communication skills.

Preferred qualifications:
- Experience with convolutional neural networks (CNNs) and transfer learning techniques.
- Familiarity with object detection and recognition, segmentation, and tracking.
- Knowledge of OpenCV and other image processing libraries.
- Experience with version control systems like Git.

If you meet these qualifications and are excited about working in a challenging and rapidly growing field, we encourage you to apply for this entry-level Deep Learning Engineer position."
AI Product Manager,['machine learning'],"Job Title: AI Product Manager - Recommender System

Job Summary:
As an AI Product Manager for our company, you will be responsible for leading the development and maintenance of our recommender system for our product line. In this role, you will work closely with cross-functional teams including engineering, data science, design, and business development to define, build, and launch AI-driven products.

Responsibilities:
- Define and execute on the product vision and roadmap for our recommender system, balancing customer needs, business objectives, and technical feasibility
- Conduct user research and analysis to identify customer needs and opportunities for improvement in the recommender system
- Define and prioritize product features and enhancements for the recommender system, working closely with engineering and data science teams to deliver high-quality, scalable solutions
- Collaborate with designers to create intuitive and visually appealing interfaces that optimize user experiences for our recommender system
- Communicate progress and product status to stakeholders across the organization, providing regular reporting on key metrics such as user engagement, customer satisfaction, and revenue
- Ensure compliance with data privacy, security, and ethical considerations related to the development and deployment of AI-driven products.

Qualifications:
- Bachelor's degree in computer science, engineering, product management, or related field
- At least 3 years of experience as a product manager, with a focus on AI-driven products and recommender systems
- Experience with agile methodologies and product management tools such as JIRA, Asana, or Trello
- Strong analytical and problem-solving skills with the ability to analyze data and make data-driven decisions
- Excellent communication skills, with proven ability to lead cross-functional teams and effectively communicate with stakeholders at all levels of the organization
- Experience in data privacy, security, and ethical considerations related to AI-driven products.

Preferred Qualifications:
- Master's degree in computer science, engineering, or related field
- Experience with machine learning techniques for recommender systems such as collaborative filtering, content-based filtering, and hybrid recommendations.
- Experience in the AI/ML industry or related domain or start-up."
AI Consultant,"['python', 'machine learning', 'deep learning']","Job Title: Entry-level AI Consultant - Recommender Systems

Job Overview: 
Our company is seeking an entry-level AI Consultant to join our team. The consultant will be responsible for developing, implementing and testing recommender systems that utilize machine learning algorithms to personalize recommendations for our clients.

Responsibilities:
- Work with clients to identify their needs and build recommender systems that meet those needs.
- Develop and implement machine learning algorithms to optimize the performance of the recommender system.
- Analyze user activity and feedback to continuously improve the accuracy and relevance of recommendations.
- Collaborate with other team members to integrate the recommender system with other software applications.
- Communicate technical concepts to non-technical stakeholders, including clients and business partners.
- Stay up-to-date with the latest research and trends in recommender systems and machine learning.

Requirements:
- Bachelor's degree in Computer Science, Mathematics, Statistics, or related field.
- Experience with programming languages such as Python and/or R.
- Familiarity with machine learning algorithms, models, and techniques.
- Comfortable with data manipulation and analysis.
- Strong analytical and problem-solving skills with the ability to work in a fast-paced environment.
- Excellent communication and interpersonal skills to interact with clients and different departments within the organization.
- Knowledge in deep learning or recommendation algorithms is a plus.

If you are excited about the potential of AI and machine learning, and have a passion for turning data into actionable insights, we want you to join our team as an entry-level AI Consultant."
Business Intelligence Developer,"['python', 'machine learning', 'sql']","Job Title: Senior Business Intelligence Developer - Reinforcement Learning 

Job Description:

Our AI company is seeking a talented and experienced Senior Business Intelligence (BI) Developer with specialization in Reinforcement Learning to help us develop intelligent solutions for our customers. As a Senior BI Developer in our company, you will be responsible for designing, developing, testing, and maintaining complex BI solutions that leverage Reinforcement Learning technologies.

Responsibilities:

- Design, develop and implement complex BI solutions that leverage Reinforcement Learning techniques to provide meaningful business insights
- Develop and maintain dashboards, reports, and visualizations using tools such as Tableau, Power BI, and other industry-leading BI platforms 
- Implement and maintain machine learning models and algorithms for data analysis and prediction
- Develop and implement data integration solutions to ensure accuracy, consistency, and reliability of data 
- Work with various stakeholders to identify business requirements and define technical solutions to satisfy those requirements
- Collaborate with other teams to ensure seamless integration of BI solutions with existing systems and processes
- Monitor and ensure the performance, security, and scalability of BI solutions 
- Continuously evaluate and learn emerging technologies and methodologies for BI and Reinforcement Learning techniques

Requirements:

- Master's or Ph.D. in Computer Science, Statistics, Mathematics, or a related field
- Minimum of 5 years of experience in designing and implementing BI solutions, preferably in the field of Reinforcement Learning 
- Proven experience in delivering data-driven solutions in complex environments 
- Strong working knowledge and hands-on experience in Reinforcement Learning techniques such as Q-learning, Policy Gradient, Monte Carlo Tree Search, etc.
- Experience with BI tools such as Tableau, Power BI, Python, and SQL databases 
- Excellent problem-solving and analytical skills 
- Strong communication and collaboration skills – ability to work with cross-functional teams 
- Proven track record of delivering projects on-time and on-budget 

We offer you a challenging and exciting opportunity to apply and advance your knowledge and expertise in BI and Reinforcement Learning technologies. If you are a motivated and self-driven senior BI developer who is passionate about delivering innovative solutions in a fast-paced environment, then we encourage you to apply for this position."
AI Product Manager,[],"As a Senior AI Product Manager, you will be responsible for driving the development and execution of our AI products roadmap. You will work closely with the engineering team to lead the planning, design, development, and launch of new AI features and capabilities using natural language processing.

You will manage the product backlog and prioritize features based on customer needs, market trends and competitive landscape. You will be responsible for defining the vision, strategy and roadmap for our AI products and for communicating this vision to stakeholders across the organization.

You will build relationships with customers and partners to understand their needs and provide insights on how AI can solve their business problems. You will work closely with sales and marketing teams to ensure that our AI products are appropriately positioned in the market and that we are building the right features to meet customer needs.

In this role, you will be responsible for tracking key metrics and KPIs for our AI products and making data-driven decisions to maximize customer engagement, adoption and retention. You will also collaborate with cross-functional teams, such as data science, UX and engineering, to ensure that our AI products meet high standards of technical and user excellence.

We are looking for a proven AI Product Manager who has experience working with natural language processing technologies and a deep understanding of how AI can be leveraged to solve business problems. This person should have a track record of successfully launching and scaling AI products and driving measurable business impact."
